ticker,entity_name,revenue_usd,net_income_usd,profit_margin,operating_margin,debt_to_equity,debt_to_assets,asset_to_liability,equity_ratio,revenue_per_employee,net_income_per_employee,revenue_growth_yoy,net_income_growth_yoy,revenue_cagr_3yr,log_revenue,log_employees,employees,layoff_occurred
CSCO,"CISCO SYSTEMS, INC.",49330000000.0,10180000000.0,0.20636529495236164,0.2383944861139266,0.5253933351834853,0.20124947870243926,1.620864701516276,0.38304535902069653,,,0.058338826631509556,-0.013565891472868217,-0.3607169404533934,24.62179825221233,,,1
MSFT,MICROSOFT CORPORATION,62484000000.0,101832000000.0,1.6297292106779335,2.0569745854938866,0.12562922332951942,0.06971048605580264,2.2466391312553533,0.554890687121064,,,-0.15681842077594366,0.15539620586366523,-0.00672523575258821,24.85817636093118,,,1
GTLB,GITLAB INC.,955224000.0,-55956000.0,-0.05857893017763373,-0.07378478765190154,,,2.5094676030118035,0.5750513569316911,,,0.2581169023600953,-7.8453999367688905,0.31058476691652004,20.677456426961985,,,1
NET,"Cloudflare, Inc.",2167937000.0,-102267000.0,-0.04717249624873786,-0.09557703936968648,,,1.318785361928526,0.24172649403868887,,,0.29845666035387564,-0.29780456852791876,0.30510334305337783,21.497041861522266,,,1
BILL,"BILL HOLDINGS, INC.",1462570000.0,23799000.0,0.01627204168005634,-0.0551098408965041,0.4380307814943128,0.17035702170373515,1.636435270446453,0.3889156399524562,,,0.13362404392592617,1.8241221691252856,0.3158401173697225,21.10346099985647,,,1
LYV,"LIVE NATION ENTERTAINMENT, INC.",25201406000.0,495972000.0,0.019680330533939257,0.049648698171840096,6.330788503617987,0.07487989215334681,,0.011827893493923172,,,0.08834920240762234,-0.44663707049192947,0.14744538940043328,23.950165623597854,,,1
UPWK,UPWORK INC.,787784000.0,115425000.0,0.14651858885176647,0.16414017040203913,0.5707781030119861,0.2768355930377507,1.941801827377795,0.4850143892642238,,,0.02399376076430637,-0.46459881439425565,0.08408937707527642,20.484734499840936,,,1
AIRE,reAlpha Tech Corp.,4518498.0,-17593968.0,-3.8937646979151035,-3.54253957841743,,,2.361678663917271,0.5290802539225469,,,3.764237363193522,0.3239077327972748,5.093539092382356,15.32369041701174,,,1
PYPL,"PayPal Holdings, Inc.",33172000000.0,5233000000.0,0.15775352707102375,0.1828349210177258,,,1.3380676602633643,0.2526536365110449,,,0.0432430732459037,0.2618760549795033,0.06426945232818149,24.224971983565514,,,1
COIN,"Coinbase Global, Inc.",7181325000.0,1260327000.0,0.1755006214034318,0.1998852579433461,0.48716222163125433,0.24287745360650465,1.9942390414694113,0.4985555998025333,,,0.09404240810672959,-0.5113242545944927,0.3100276522124539,22.694749743510283,,,1
FRSH,Freshworks Inc.,838809000.0,183723000.0,0.21902840813582114,0.01574255879467197,,,2.8114696296192343,0.6443141375368749,,,0.1643333055717498,2.9264638033722004,0.18981161340830055,20.547493587740377,,,1
AAPL,Apple Inc.,265595000000.0,112010000000.0,0.42173233682863004,0.5009506956079746,1.229815686327696,0.2524155093655791,1.2582519579136136,0.20524661717342954,,,-0.2875992434281313,0.19495177946573355,-0.10401023057784575,26.305238429074052,,,0
MSFT,MICROSOFT CORPORATION,62484000000.0,101832000000.0,1.6297292106779335,2.0569745854938866,0.12562922332951942,0.06971048605580264,2.2466391312553533,0.554890687121064,,,-0.15681842077594366,0.15539620586366523,-0.00672523575258821,24.85817636093118,,,0
GOOGL,Alphabet Inc.,402836000000.0,132170000000.0,0.3280987796522654,0.32032638592380025,0.1182016302842763,0.08245685650978278,3.306822726868723,0.6975949173583568,,,0.15090081081544376,0.3201422321660441,0.16066444427849325,26.721795368178995,,,0
V,VISA INC.,21846000000.0,20058000000.0,0.9181543531996704,1.0983246360889865,0.7934712713242804,0.21055537153582865,1.6142292362033765,0.2653597920242505,,,-0.04922313617965792,0.015955022033125665,0.059698178740562824,23.807283675413537,,,0
MA,Mastercard Incorporated,32791000000.0,3116000000.0,0.09502607422768443,0.5762861760849013,0.002584981258885873,0.0003692966744834463,1.166900088341126,0.1428624185239212,,,0.16416373770724607,0.02975206611570248,0.1382198495222513,24.21341992447121,,,0
JNJ,Johnson & Johnson,94193000000.0,26804000000.0,0.2845646704107524,0.2292102385527587,,0.20801164600170674,1.693012424999575,,,,0.06048119251078011,0.9055879425565193,0.6763260746725808,25.268611705799454,,,0
PG,PROCTER & GAMBLE CO,84284000000.0,15974000000.0,0.1895258886621423,0.24264391818138675,,0.18469069160191964,1.716763085021797,,,,0.0029153131284284676,0.07359365548759997,0.01674893047051751,25.157457885612835,,,0
KO,COCA COLA CO,47941000000.0,13107000000.0,0.2733985523873094,0.28706117936630443,1.1659361497093474,0.35783658983361316,,0.30690925049610746,,,0.018699135164998618,0.23290377198758347,0.03689014114187783,24.59323692516355,,,0
WMT,Walmart Inc.,713163000000.0,21893000000.0,0.03069845182658102,0.041820733829433104,0.38312737785719303,0.13407197155985218,,0.34994098388297945,,,0.04725214211766779,0.1264149001852233,0.05272290929168877,27.292975842735185,,,0
